grid_point, analysis_value, analysis_increment
[16, 6],5524.13514337538,-18.5777639052003
[16, 7],5553.492937767929,-25.030245342337366
[16, 8],5581.10225902599,-24.711579534816337
[16, 9],5615.5544769028,-10.827892255760162
[16, 10],5646.144422558123,4.096086225697036
[16, 11],5656.767445578854,3.1965267423111072
[16, 12],5684.242957759588,21.57641829885779
[16, 13],5681.073792611248,9.639804258911681
[16, 14],5701.25518039199,20.9805376847371
[16, 15],5683.247961384067,-5.23907969269203
[16, 16],5688.991622823611,-7.304497964808434
[16, 17],5697.549577179362,-7.528865824696368
[16, 18],5712.052112114502,-4.850199652977608
[16, 19],5755.541720484223,22.008320738505063
[16, 20],5797.992904691157,45.16361155788036
[16, 21],5822.832156815943,52.64835753764601
[17, 0],5211.422135447442,-60.20534793773368
[17, 1],5292.340655494097,-31.30240954467081
[17, 2],5357.89885408469,-25.14072473490978
[17, 3],5432.445979831185,-3.5183558872695357
[17, 4],5471.473415372362,-9.597042537392554
[17, 5],5511.744216637679,-16.062277365292175
[17, 6],5550.684396558143,-22.383757796377722
[17, 7],5571.446230649354,-34.70856682875001
[17, 8],5597.154037505877,-31.259973988526326
[17, 9],5625.872984544363,-19.94625624809123
[17, 10],5655.703671892072,-4.905116488758722
[17, 11],5682.892874997288,9.465174202019625
[17, 12],5695.283444144694,9.237785007348975
[17, 13],5708.946139871355,9.234907397241841
[17, 14],5724.489687788128,11.44605123032943
[17, 15],5744.272509406415,19.942862500328374
[17, 16],5758.177499247675,24.373058017521544
[17, 17],5756.341521235746,13.53955807273178
[17, 18],5764.738800952378,11.904102370968758
[17, 19],5774.71818746707,9.50102761494054
[17, 20],5830.141201516807,50.927904632454556
[17, 21],5853.619147482694,61.71350151366096
[18, 0],5264.076386002352,-32.61435824272303
[18, 1],5341.537602710751,-3.5323537229196518
[18, 2],5398.009086091706,-1.3197529421286163
[18, 3],5446.526839467222,-7.74508090397012
[18, 4],5492.188596113958,-15.475839278625244
[18, 5],5535.410150108605,-24.08762681625558
[18, 6],5571.851829734188,-29.57512712622156
[18, 7],5596.994175075682,-31.51780227897507
[18, 8],5622.892027945554,-23.77677707996827
[18, 9],5650.423373279151,-11.530692455488861
[18, 10],5668.526646626649,-7.857492515922786
[18, 11],5700.078973444692,9.15529017143217
[18, 12],5714.866096519865,7.688491953837001
[18, 13],5732.318881309507,7.654882452878155
[18, 14],5751.235433741878,11.047434751150831
[18, 15],5771.917600159519,19.624689077867515
[18, 16],5785.185117473388,23.14960070818779
[18, 17],5798.843805445501,28.207262848863138
[18, 18],5806.467532776279,27.59791478938314
[18, 19],5824.284329717263,36.869447908836264
[18, 20],5844.393921447116,47.959185449082725
[18, 21],5863.101894312841,58.13540814706903
[19, 0],5296.4161937279905,-25.596237881101843
[19, 1],5366.630302070346,-1.346959991611584
[19, 2],5410.5960618305735,-12.926769652752228
[19, 3],5473.585441821057,-12.053928336615172
[19, 4],5523.173530171814,-20.14841505485856
[19, 5],5563.000337290213,-26.848833894914605
[19, 6],5591.669289796266,-31.516712355655727
